0: f3h2
1: a7e7
2: b2b4
3: e6h6
4: e7d7
5: f3b3
6: e6h6
7: d5c4
8: g5h7
9: b4c3
10: g4h6
11: b3a3
12: b3f7
13: c1b1
14: h4e4
15: d8e7
16: f2f3
17: d3e2
18: d5f7
19: e4d3
20: g5f3
21: e2d1
22: h1g2
23: d2e4
24: d8b6
25: a1a7
26: d6d5
27: f8e8
28: f8f3
29: e2a6
30: e3h6
31: e3e5
32: b7b5
33: h2h3
34: a3b2
35: e1g1
36: a7a4
37: d7d3
38: d6d5
39: h7h5
40: d4e3
41: g1h1
42: g5h5
43: g7g5
44: f3d2
45: d8e7
46: b4a3
47: d7c8
48: f6b2
49: b8d8
50: b4b5
51: h7h6
52: b5b4
53: c5e3
54: h6d2
55: g7h8
56: b7b8
57: d8e8
58: d1d2
59: f1e1
60: a8a6
61: g7d4
62: e6e5
63: d5e3
64: a8b8
65: b5a4
66: b2b4
67: f3h5
68: b6b8
69: d1d8
70: d4f3
71: a2c3
72: c6b4
73: c8b8
74: d3c4
75: a1d1
76: c3b5
77: c1e2
78: h1g2
79: f3g5
80: e7e8
81: h5h4
82: d3d5
83: c6c3
84: a1a2
85: a6a1
86: e6e2
87: g3h1
88: g2g4
89: f1c4
90: c4c5
91: d7f5
92: None
93: e8f7
94: e2e3
95: h3h4
96: c8h3
97: e6a2
98: e8b8
99: f5e4
